,tweets
156,"""It is not too late to switch your ticket! #trumptrain https://t.co/PtQb7IL1hq"""
157,"""@realDonaldTrump @realDonaldTrump is the the same lady you show under “radical left “???? Seems to me that you are using her in lots of campaign ads for many different things. So tell me is she “radical left” or a #TrumpSupporters ??? #BidenHarris2020 https://t.co/I40pQQr8qa"""
158,"""White BLM protestor telling crowd “Black Lives Matter” is confronted by black #WalkAway activist saying tell him “All Lives Matter!” https://t.co/9fcf27d54E"""
159,"""May God protect you\n\n#MAGA #Trump2020 https://t.co/Hy7XygPqNB"""
160,"""It happen to anyone! Wear a mask in public people! #MakeAmericaGreatAgain #COVID19 #TrumpHasCovid https://t.co/gRxARB7k0O"""
161,"""“I mean, do you even personally know anyone who has this so-called coronavirus?”\n\n#TrumpSupporters"""
162,"""TO ALL TRUMP SUPPORTERS!! JUDAS SOUL HIS SOUL FOR 30 PIECES OF SILVER, WHAT WAS YOUR PRICE?!!! #TrumpSupporters #religious #Christians #lies #Hypocrites #TrumpFailed #Unbelievers #falseprophets #judas #racism #church"""
163,"""Hope Hicks, who has been working so hard without even taking a small break, has just tested positive for Covid 19. Terrible! The First Lady and I are waiting for our test results. In the meantime, we will begin our quarantine process!"""
164,"""For a Good Time Call @KamalaHarris \nhttps://t.co/BMlGmpNnVT\n\n#2020Election #Biden2020 #BorderWall #BuildtheWall #DNC #DefundPolice #DefundthePolice #Democrat #Election2020 #JoeBiden #LaborDay2020 #LaborDayHumor #Politics #Trump #VPNominee #WallsWork #democrats @realDonaldTrump https://t.co/oJccaenot8"""
165,"""Go figure, Bannon’s grubby little fingers are all over this one.... Wonder how that stealing from the, #BuildTheWall fund, is coming along. Grifters gonna grift.... https://t.co/1iPtb5gJfg"""
166,"""Border Patrol Agent Repeatedly Stabbed, Manages To Take Out His Would-Be Killer - The Police Tribune #BuildTheWall #LawandOrder https://t.co/MnvSEN1xri"""
167,"""i was watching @TheBoysTV #makeamericasafeagain #makeamericagreatagain"""
168,"""@JoeBiden @PattyLehner Did you see what going on @CityofFairfaxVA? #TrumpSupporters are blocking entrance to early voting. And appears @FairfaxCityPD is doing nothing to stop the #VoterSuppression"""
169,"""There's more money laundering on K Street than the drug cartels could ever dream of. #DrainTheSwamp"""
170,"""@clark_roslyn #TrumpSupporters  aren't #BallotHarvesting and torturing pigs at #Bidenriots"""
171,"""Is this a New York or New Jersey accent? I can’t tell. https://t.co/lPd8nm8rGY"""
172,"""Roll Call: WHO LOVES PRESIDENT TRUMP?!? #MAGA @realDonaldTrump 🇺🇸🇺🇸🇺🇸🇺🇸"""
